专辑名,艺人名,发行时间
Elegy of the Uprooting,Eleni Karaindrou,2006/10/10
Graceland,尚雯婕,2013/10/16
希游记,孙盛希,2018/10/31
Лес в Корабле,82-75,2011/5/2
不朽的旋律,中国国家交响乐团,2002/4/1
How Strange It Seems,Brent Cash,2011/5/27
收•音•,徐佳莹,2016/9/22
Louis Vuitton SoundWalk: Beijing,巩俐,2008/6/16
Louis Vuitton SoundWalk: Shanghai,陈冲,2008/6/16
Louis Vuitton SoundWalk: Hong Kong,舒淇,2008/6/16
犬夜叉 音楽篇 参,和田薫,2003/10/29
Just No Other Way,李玟,1999/10/27
Di Da Di 暗示,李玟,1998/1/7
飞行器的执行周期,郭顶,2016/11/25
And The Spring Is Gone:Gavintoo's Remix Selections,白天不亮,2010/5/20
理性与感性 作品音乐会,李宗盛,2007/9/28
TIARA,袁娅维,2018/4/20
维京人来了 45首历年主打全记录,姚谦,2005/3/10
The Unheard Of Chyi,齐豫,2003/4/1
The Best of 'Playing the Orchestra 2014',坂本龍一,2015/3/25
Arrival (Original Motion Picture Soundtrack),Jóhann Jóhannsson,2016/11/11
Lost In Translation (Original Motion Picture Soundtrack),Soundtrack,2003/9/9
Lust auf Gefühl,Helmut Zacharias,1995/3/9
Call Me By Your Name (Original Motion Picture Soundtrack),Soundtrack,2017/11/3
海上花 电影原声带,半野喜弘,1998/10/1
她的改变,雷光夏,2010/5/14
天籁,莫文蔚,2017/10/12
We Loved Her Dearly,Lowell,2014/9/16
No Way Out,A Challenge Of Honour,2009/4/1
Ultimate Opera: The Essential Masterpieces,Various Artists,2007/3/5
Le fabuleux destin d'Amélie Poulain,Yann Tiersen,2001/4/23
A Single Man,Abel Korzeniowski,2010/1/5
想像空间 Live,陈洁仪,2012/2/10
不特别得很特别,刘思涵,2017/10/22
The Legendary Horn,Various Artists,2009/12/30
Holst: The Planets,Herbert von Karajan,1993/4/5
只爱陌生人,王菲,1999/9/10
菲比寻常Live!,王菲,2004/11/12
敷衍,王菲,2015/11/13
寻找未曝光少年,虾米音乐人,2017/9/22
来日方长,黄龄,2017/5/15
Sine Dust,36,2015/4/15
HARMONY~J-POP MEETS CLASSICS~ (disc 6: Utada Hikaru Melody),Various Artists,2002/11/25
空～心を青く染めるとき～,贾鹏新,2004/6/9
The Piano (Bande Originale du Film),Michael Nyman,1993/10/19
Sing (Original Motion Picture Soundtrack),Soundtrack,2016/12/9
beatlessBEST... Mellow Relaxation.,DAISHI DANCE,2012/3/7
映画 大奥 オリジナル・サウンドトラック,村松崇継,2010/9/29
娑婆吟叹·莲花秘境,央吉玛,2016/10/18
Blues in the East,Liu Sola,1994/4/1
Young For You,GALA,2004/3/1
Béla Bartók: 44 Duos for Two Violins,Béla Bartók,2002/6/18
Murmurs of Earth,Various Artists,1992/1/1
花样年华 电影原声大碟,原声带,2001/5/26
AMIT2,张惠妹,2015/4/4
Milano Fashion Vol. 6,Various Artists,2008/2/1
万能青年旅店 同名专辑,万能青年旅店,2010/10/26
寻光集,虾米音乐人,2014/7/21
The Last Emperor (Original Motion Picture Soundtrack),Soundtrack,1987/12/8
Concert YY 黄伟文作品展,黄伟文,2012/10/3
霸王别姬 电影原声带,赵季平,1992/12/12
Singles,Suede,2003/10/1
東京ラブストーリー オリジナル・サウンドトラック,日向敏文,1991/2/10
阴阳师 游戏原声音乐集,梅林茂,2016/8/17
陰陽師II オリジナル・サウンドトラック,梅林茂,2003/10/8
Who You Are Is Not Enough,Athletics,2012/6/26
鲤语,李雨,2017/3/8
Retro,New Order,2002/12/9
千と千尋の神隠し イメージアルバム,久石譲,2001/4/4
UTAU,大貫妙子,2010/11/10
Tokyo Express - Live In Concert,Rasmus Faber,2014/11/21
Shanghai Lounge Divas,Ian Widgery,2004/9/28
La La Land (Original Motion Picture Soundtrack),Justin Hurwitz,2016/12/9
Liszt：The 19 Hungarian Rhapsodies,Roberto Szidon,1997/4/15
The Peach Blossom,狸猫,2016/3/21
尘埃,王菲,2016/7/22
追月,艾敬,1996/9/1
Arular,M.I.A.,2005/4/25
Hope,The Strumbellas,2016/4/22
Palace Memories,S.E.N.S.,1996/7/24
Cinematique,Chris Minh Doky,2003/1/6
The Songbird Anthology,王菀之,2011/11/1
Popper: Romantic Cello Favorites,János Starker,1992/11/12
戏梦关东 原声音乐,王利夫,2016/11/24
The Great Gatsby (Music from Baz Luhrmann's Film),Soundtrack,2013/5/17
古来風芸,Musical Jarβ,2010/12/31
丝路,梁静茹,2005/9/16
Chemicals,The Shoes,2015/10/2
声光回忆 王家卫电影原声精选,原声带,2004/11/23
Art Angels,Grimes,2015/11/6
Rachmaninov: Piano Concerto No. 2,Hélène Grimaud,2001/5/15
Moulin Rouge (Music from Baz Luhrmann's Film),Soundtrack,2001/10/9
将爱,王菲,2003/11/17
Here's to Never Growing Up,Avril Lavigne,2013/4/9
